num_particles,velocity,forces_x,forces_y,forces_z,radius,yzarea
1.0,0.01,2.7922163217592447e-10,5.296168520340401e-09,-1.4990010850289774e-14,0.0005,7.79568834313217e-07
1.0,0.01473684210526316,4.6134946786476827e-10,5.296226053538248e-09,-2.300976694882511e-14,0.0005,7.79568834313217e-07
1.0,0.019473684210526317,1.2677079115020646e-08,1.544715971376982e-08,-2.6713069379456994e-12,0.0005,7.79568834313217e-07
1.0,0.024210526315789474,8.344846647951386e-10,5.2961102052208905e-09,-4.4455881949637117e-14,0.0005,7.79568834313217e-07
1.0,0.02894736842105263,1.076674187026442e-09,5.296667203436944e-09,-6.5546234550249e-14,0.0005,7.79568834313217e-07
1.0,0.03368421052631579,1.2734211701528084e-09,5.296243840744664e-09,-7.858294479319444e-14,0.0005,7.79568834313217e-07
1.0,0.03842105263157895,1.535065922241692e-09,5.295976938647856e-09,-1.0548015941514114e-13,0.0005,7.79568834313217e-07
1.0,0.04315789473684211,1.769427934333281e-09,5.29597023031279e-09,-1.2584504977040031e-13,0.0005,7.79568834313217e-07
1.0,0.04789473684210527,2.0442201745965446e-09,5.295938337187163e-09,-1.5646066490416602e-13,0.0005,7.79568834313217e-07
1.0,0.052631578947368425,2.321289144429592e-09,5.29590627276894e-09,-1.8748448039017795e-13,0.0005,7.79568834313217e-07
1.0,0.05736842105263158,2.609193513812476e-09,5.295870230126797e-09,-2.211901188503983e-13,0.0005,7.79568834313217e-07
1.0,0.06210526315789474,2.908142537746929e-09,5.295833518015902e-09,-2.57700064392002e-13,0.0005,7.79568834313217e-07
1.0,0.0668421052631579,3.2176184142721216e-09,5.295793818257667e-09,-2.968427953724558e-13,0.0005,7.79568834313217e-07
1.0,0.07157894736842106,3.537397687103212e-09,5.295750930365578e-09,-3.3855832182348707e-13,0.0005,7.79568834313217e-07
1.0,0.07631578947368421,3.867747107049439e-09,5.2957075145190845e-09,-3.830784847780733e-13,0.0005,7.79568834313217e-07
1.0,0.08105263157894736,4.208079800178839e-09,5.2956607685654345e-09,-4.3012204974265935e-13,0.0005,7.79568834313217e-07
1.0,0.08578947368421053,4.5584967207756235e-09,5.295612248804642e-09,-4.79680637392064e-13,0.0005,7.79568834313217e-07
1.0,0.09052631578947369,4.9188944417065295e-09,5.295561912902351e-09,-5.318310191502659e-13,0.0005,7.79568834313217e-07
1.0,0.09526315789473684,5.28917571530164e-09,5.295509853200232e-09,-5.866434515901586e-13,0.0005,7.79568834313217e-07
1.0,0.1,5.668867527745808e-09,5.295453191478863e-09,-6.436522984791272e-13,0.0005,7.79568834313217e-07
2.0,0.01,5.177596403685988e-10,1.0563206200326319e-08,-3.275670174442422e-14,0.0005,1.5591377000913906e-06
2.0,0.01473684210526316,5.266393346531778e-10,1.0602134702447491e-08,-3.385592434244401e-14,0.0005,7.79568834313217e-07
2.0,0.019473684210526317,9.091062467098726e-10,1.047327932540436e-08,-5.64466118144477e-14,0.0005,7.79568834313217e-07
2.0,0.024210526315789474,1.1742255033440284e-09,1.0478479109840126e-08,-8.31825666368687e-14,0.0005,7.79568834313217e-07
2.0,0.02894736842105263,1.2387053373709868e-09,1.0602054397501165e-08,-7.363266754375871e-14,0.0005,7.79568834313217e-07
2.0,0.03368421052631579,2.274926984847175e-09,1.0464368572466395e-08,-2.356425038534703e-12,0.0005,1.2547526845445695e-06
2.0,0.03842105263157895,2.8826274808081116e-09,1.0566405651851705e-08,-2.5900708769216607e-13,0.0005,1.5591377000913906e-06
2.0,0.04315789473684211,2.241159251251043e-09,1.0475303277073255e-08,-2.1261574188527209e-13,0.0005,7.79568834313217e-07
2.0,0.04789473684210527,3.909572588955259e-09,1.0599765574074727e-08,4.9092824991901854e-12,0.0005,1.559137569944846e-06
2.0,0.052631578947368425,4.097284706099845e-09,1.0462164963737081e-08,-3.2324916924847655e-12,0.0005,1.2547526845445695e-06
2.0,0.05736842105263158,4.60501012501805e-09,1.0461790047997139e-08,2.643057842144055e-12,0.0005,1.2547526229384207e-06
2.0,0.06210526315789474,3.3265832985206753e-09,1.0472021420021175e-08,-4.2725568402753767e-13,0.0005,7.79568834313217e-07
2.0,0.0668421052631579,5.681589815969935e-09,1.0461096955447693e-08,-3.928589073564157e-12,0.0005,1.2547526845445695e-06
2.0,0.07157894736842106,6.248834082975101e-09,1.0460780539106705e-08,2.89912015202072e-12,0.0005,1.2547526229384207e-06
2.0,0.07631578947368421,4.432070011717644e-09,1.0601697015268226e-08,-4.17100122254493e-13,0.0005,7.79568834313217e-07
2.0,0.08105263157894736,7.428206390328652e-09,1.0435890585504619e-08,-1.4186562861228398e-12,0.0005,1.2571030839892433e-06
2.0,0.08578947368421053,9.091256217027428e-09,1.059888406651408e-08,7.356142406716665e-12,0.0005,1.559137569944846e-06
2.0,0.09052631578947369,4.865487572003133e-09,1.046875636684781e-08,-8.881848520232453e-13,0.0005,7.79568834313217e-07
2.0,0.09526315789473684,1.0635584210714771e-08,1.056903365345679e-08,-1.537010162345357e-12,0.0005,1.5591377000913906e-06
2.0,0.1,1.1443294163638583e-08,1.0598445088749766e-08,8.24174159828082e-12,0.0005,1.559137569944846e-06
3.0,0.01,7.900053112527425e-10,1.5673832659419886e-08,-8.53112097445536e-14,0.0005,2.0366719336762517e-06
3.0,0.01473684210526316,1.3598611010324263e-09,1.5692724132418485e-08,-2.8480251953449433e-12,0.0005,1.729936536941182e-06
3.0,0.019473684210526317,1.192676751276131e-09,1.5833806192041996e-08,-9.212057062897422e-14,0.0005,7.79568834313217e-07
3.0,0.024210526315789474,1.2277926986546284e-09,1.5790882801870452e-08,-6.577227745751738e-14,0.0005,7.79568834313217e-07
